,STATE,COUNTY,STATE_NAME,COUNTY_NAME
0,01,001,Alabama,Autauga
1,01,003,Alabama,Baldwin
2,01,005,Alabama,Barbour
3,01,007,Alabama,Bibb
4,01,009,Alabama,Blount
5,01,011,Alabama,Bullock
6,01,013,Alabama,Butler
7,01,015,Alabama,Calhoun
8,01,017,Alabama,Chambers
9,01,019,Alabama,Cherokee
10,01,021,Alabama,Chilton
11,01,023,Alabama,Choctaw
12,01,025,Alabama,Clarke
13,01,027,Alabama,Clay
14,01,029,Alabama,Cleburne
15,01,031,Alabama,Coffee
16,01,033,Alabama,Colbert
17,01,035,Alabama,Conecuh
18,01,037,Alabama,Coosa
19,01,039,Alabama,Covington
20,01,041,Alabama,Crenshaw
21,01,043,Alabama,Cullman
22,01,045,Alabama,Dale
23,01,047,Alabama,Dallas
24,01,049,Alabama,DeKalb
25,01,051,Alabama,Elmore
26,01,053,Alabama,Escambia
27,01,055,Alabama,Etowah
28,01,057,Alabama,Fayette
29,01,059,Alabama,Franklin
30,01,061,Alabama,Geneva
31,01,063,Alabama,Greene
32,01,065,Alabama,Hale
33,01,067,Alabama,Henry
34,01,069,Alabama,Houston
35,01,071,Alabama,Jackson
36,01,073,Alabama,Jefferson
37,01,075,Alabama,Lamar
38,01,077,Alabama,Lauderdale
39,01,079,Alabama,Lawrence *
40,01,081,Alabama,Lee
41,01,083,Alabama,Limestone
42,01,085,Alabama,Lowndes
43,01,087,Alabama,Macon
44,01,089,Alabama,Madison
45,01,091,Alabama,Marengo
46,01,093,Alabama,Marion
47,01,095,Alabama,Marshall
48,01,097,Alabama,Mobile
49,01,099,Alabama,Monroe
50,01,101,Alabama,Montgomery
51,01,103,Alabama,Morgan
52,01,105,Alabama,Perry
53,01,107,Alabama,Pickens
54,01,109,Alabama,Pike
55,01,111,Alabama,Randolph
56,01,113,Alabama,Russell
57,01,115,Alabama,St. Clair
58,01,117,Alabama,Shelby
59,01,119,Alabama,Sumter
60,01,121,Alabama,Talladega
61,01,123,Alabama,Tallapoosa
62,01,125,Alabama,Tuscaloosa
63,01,127,Alabama,Walker
64,01,129,Alabama,Washington
65,01,131,Alabama,Wilcox
66,01,133,Alabama,Winston
67,02,013,Alaska,Aleutians East
68,02,016,Alaska,Aleutians West
69,02,020,Alaska,Anchorage
70,02,050,Alaska,Bethel
71,02,060,Alaska,Bristol Bay
72,02,063,Alaska,Chugach
73,02,066,Alaska,Copper River
74,02,068,Alaska,Denali
75,02,070,Alaska,Dillingham
76,02,090,Alaska,Fairbanks North Star
77,02,100,Alaska,Haines
78,02,105,Alaska,Hoonah-Angoon
79,02,110,Alaska,Juneau
80,02,122,Alaska,Kenai Peninsula
81,02,130,Alaska,Ketchikan Gateway
82,02,150,Alaska,Kodiak Island
83,02,158,Alaska,Kusilvak
84,02,164,Alaska,Lake and Peninsula
85,02,170,Alaska,Matanuska-Susitna
86,02,180,Alaska,Nome
87,02,185,Alaska,North Slope
88,02,188,Alaska,Northwest Arctic
89,02,195,Alaska,Petersburg
90,02,198,Alaska,Prince of Wales-Hyder
91,02,220,Alaska,Sitka
92,02,230,Alaska,Skagway
93,02,240,Alaska,Southeast Fairbanks
94,02,275,Alaska,Wrangell
95,02,282,Alaska,Yakutat
96,02,290,Alaska,Yukon-Koyukuk
97,04,001,Arizona,Apache
98,04,003,Arizona,Cochise
99,04,005,Arizona,Coconino
100,04,007,Arizona,Gila
101,04,009,Arizona,Graham
102,04,011,Arizona,Greenlee
103,04,012,Arizona,La Paz
104,04,013,Arizona,Maricopa
105,04,015,Arizona,Mohave
106,04,017,Arizona,Navajo
107,04,019,Arizona,Pima
108,04,021,Arizona,Pinal
109,04,023,Arizona,Santa Cruz
110,04,025,Arizona,Yavapai
111,04,027,Arizona,Yuma
112,05,001,Arkansas,Arkansas
113,05,003,Arkansas,Ashley
114,05,005,Arkansas,Baxter
115,05,007,Arkansas,Benton
116,05,009,Arkansas,Boone
117,05,011,Arkansas,Bradley
118,05,013,Arkansas,Calhoun
119,05,015,Arkansas,Carroll
120,05,017,Arkansas,Chicot
121,05,019,Arkansas,Clark
122,05,021,Arkansas,Clay
123,05,023,Arkansas,Cleburne
124,05,025,Arkansas,Cleveland
125,05,027,Arkansas,Columbia
126,05,029,Arkansas,Conway
127,05,031,Arkansas,Craighead
128,05,033,Arkansas,Crawford
129,05,035,Arkansas,Crittenden
130,05,037,Arkansas,Cross
131,05,039,Arkansas,Dallas
132,05,041,Arkansas,Desha
133,05,043,Arkansas,Drew
134,05,045,Arkansas,Faulkner
135,05,047,Arkansas,Franklin
136,05,049,Arkansas,Fulton
137,05,051,Arkansas,Garland
138,05,053,Arkansas,Grant
139,05,055,Arkansas,Greene
140,05,057,Arkansas,Hempstead
141,05,059,Arkansas,Hot Spring
142,05,061,Arkansas,Howard
143,05,063,Arkansas,Independence
144,05,065,Arkansas,Izard
145,05,067,Arkansas,Jackson
146,05,069,Arkansas,Jefferson
147,05,071,Arkansas,Johnson
148,05,073,Arkansas,Lafayette
149,05,075,Arkansas,Lawrence
150,05,077,Arkansas,Lee
151,05,079,Arkansas,Lincoln
152,05,081,Arkansas,Little River
153,05,083,Arkansas,Logan
154,05,085,Arkansas,Lonoke
155,05,087,Arkansas,Madison
156,05,089,Arkansas,Marion
157,05,091,Arkansas,Miller
158,05,093,Arkansas,Mississippi
159,05,095,Arkansas,Monroe
160,05,097,Arkansas,Montgomery
161,05,099,Arkansas,Nevada
162,05,101,Arkansas,Newton
163,05,103,Arkansas,Ouachita
164,05,105,Arkansas,Perry
165,05,107,Arkansas,Phillips
166,05,109,Arkansas,Pike
167,05,111,Arkansas,Poinsett
168,05,113,Arkansas,Polk
169,05,115,Arkansas,Pope
170,05,117,Arkansas,Prairie
171,05,119,Arkansas,Pulaski
172,05,121,Arkansas,Randolph
173,05,123,Arkansas,St. Francis
174,05,125,Arkansas,Saline
175,05,127,Arkansas,Scott
176,05,129,Arkansas,Searcy
177,05,131,Arkansas,Sebastian
178,05,133,Arkansas,Sevier
179,05,135,Arkansas,Sharp
180,05,137,Arkansas,Stone
181,05,139,Arkansas,Union
182,05,141,Arkansas,Van Buren
183,05,143,Arkansas,Washington
184,05,145,Arkansas,White
185,05,147,Arkansas,Woodruff
186,05,149,Arkansas,Yell
187,06,001,California,Alameda
188,06,003,California,Alpine
189,06,005,California,Amador
190,06,007,California,Butte
191,06,009,California,Calaveras
192,06,011,California,Colusa
193,06,013,California,Contra Costa
194,06,015,California,Del Norte
195,06,017,California,El Dorado
196,06,019,California,Fresno
197,06,021,California,Glenn
198,06,023,California,Humboldt
199,06,025,California,Imperial
200,06,027,California,Inyo
201,06,029,California,Kern
202,06,031,California,Kings
203,06,033,California,Lake
204,06,035,California,Lassen
205,06,037,California,Los Angeles
206,06,039,California,Madera
207,06,041,California,Marin
208,06,043,California,Mariposa
209,06,045,California,Mendocino
210,06,047,California,Merced
211,06,049,California,Modoc
212,06,051,California,Mono
213,06,053,California,Monterey
214,06,055,California,Napa
215,06,057,California,Nevada
216,06,059,California,Orange
217,06,061,California,Placer
218,06,063,California,Plumas
219,06,065,California,Riverside
220,06,067,California,Sacramento
221,06,069,California,San Benito
222,06,071,California,San Bernardino
223,06,073,California,San Diego
224,06,075,California,San Francisco
225,06,077,California,San Joaquin
226,06,079,California,San Luis Obispo
227,06,081,California,San Mateo
228,06,083,California,Santa Barbara
229,06,085,California,Santa Clara
230,06,087,California,Santa Cruz
231,06,089,California,Shasta
232,06,091,California,Sierra
233,06,093,California,Siskiyou
234,06,095,California,Solano
235,06,097,California,Sonoma
236,06,099,California,Stanislaus
237,06,101,California,Sutter
238,06,103,California,Tehama
239,06,105,California,Trinity
240,06,107,California,Tulare
241,06,109,California,Tuolumne
242,06,111,California,Ventura
243,06,113,California,Yolo
244,06,115,California,Yuba
245,08,001,Colorado,Adams
246,08,003,Colorado,Alamosa
247,08,005,Colorado,Arapahoe
248,08,007,Colorado,Archuleta
249,08,009,Colorado,Baca
250,08,011,Colorado,Bent
251,08,013,Colorado,Boulder
252,08,014,Colorado,Broomfield
253,08,015,Colorado,Chaffee
254,08,017,Colorado,Cheyenne
255,08,019,Colorado,Clear Creek
256,08,021,Colorado,Conejos
